srcStateName,srcYear,Budget type,Total expenditure,Developmental expenditure,Social services,"Education, sports, art and culture",Medical and public health,Family welfare,Water supply and sanitation,Housing,Urban development,"Welfare of scheduled caste, scheduled tribes and other backward classes",Labour and labour welfare,Social security and welfare,Nutrition,Relief on account of natural calamities,Other social services,Economic services,Agriculture and allied activities,Crop husbandry,Soil and water conservation,Animal husbandry,Dairy development,Fisheries,Forestry and wild life,Plantations,Food storage and Warehousing,Agricultural research and education,Agricultural finance institutions,Cooperation,Other agricultural programmes,Rural development,Special area programmes,Irrigation and flood control,Major and medium irrigation,Minor irrigation,Flood control and drainage,Energy,Power,Industry and minerals,Village and small industries,Industries,Other industries,Transport and communications,Roads and bridges,Others means of transport and communications,"Science, technology and environment",General economic services,Secretariat services under General economic services,Tourism,Civil supplies,Others general economic services,Non developmental expenditure,Organs of state,Fiscal services,Collection of taxes and duties,Other fiscal services,Interest payments and services of debt,Appropriation for reduction or avoidance of debt,Interest payments,Interest on loans from the centre,Interest on internal debt,Interest on market loans,Interest on National Food Security Food (NSSF),"Interest on small savings, provident funds, etc",Other interests on internal debt,Administrative services,Secretariat services under Administrative services ,District administration,Police,Public works,Other administrative services,Pensions,Miscellaneous general services,Payment on account of state lotteries,Grants-in-aid and contributions,Compensation and assignments to local bodies and Panchayati Raj Institutions,"Transfers to road fund, education cess fund, etc",Reserve with finance department
PUDUCHERRY,2011-12,Accounts,322223.0,224943.0,149774.0,46736.0,30458.0,579.0,5763.0,2493.0,5085.0,11387.0,1887.0,23349.0,2719.0,18496.0,824.0,75169.0,21056.0,5132.0,179.0,2662.0,77.0,4773.0,430.0,,5211.0,1559.0,,647.0,384.0,5237.0,3492.0,2293.0,,2066.0,227.0,25541.0,25541.0,8741.0,2542.0,6198.0,,4388.0,3484.0,903.0,255.0,4167.0,602.0,2346.0,826.0,393.0,96824.0,3444.0,3194.0,3194.0,,40200.0,1187.0,39014.0,19836.0,16283.0,14999.0,,2860.0,34.0,20285.0,1497.0,346.0,9380.0,2514.0,6548.0,29600.0,101.0,,456.0,456.0,,
NAGALAND,2011-12,Budget Estimates,460054.0,248883.0,113988.0,65072.0,19265.0,1678.0,4044.0,519.0,1836.0,2311.0,1928.0,7916.0,6268.0,522.0,2627.0,134896.0,35902.0,14818.0,3899.0,5790.0,314.0,2205.0,4761.0,,1281.0,1107.0,,1727.0,,12450.0,,17835.0,,17835.0,,21204.0,20889.0,5959.0,4460.0,1500.0,,17283.0,12507.0,4777.0,3056.0,12951.0,9798.0,636.0,,2518.0,211171.0,4520.0,3786.0,3782.0,4.0,46867.0,2900.0,43967.0,2783.0,36653.0,25670.0,1500.0,4530.0,,98103.0,6441.0,7720.0,69053.0,5727.0,9162.0,57629.0,266.0,169.0,,,,
GOA,2011-12,Revised Estimates,617361.0,439156.0,229272.0,113506.0,40983.0,900.0,25566.0,1520.0,8736.0,3451.0,4279.0,26389.0,1003.0,677.0,2263.0,209883.0,24933.0,8580.0,219.0,3211.0,1474.0,3249.0,4391.0,,2165.0,212.0,,1317.0,115.0,10584.0,,8555.0,2829.0,3625.0,1370.0,115695.0,115545.0,12100.0,5104.0,6496.0,500.0,27413.0,16381.0,11032.0,522.0,9175.0,1489.0,5203.0,419.0,2064.0,178206.0,8978.0,4718.0,4707.0,11.0,71629.0,3000.0,68629.0,3489.0,55786.0,24037.0,28000.0,7095.0,2260.0,41710.0,2552.0,2515.0,22100.0,7999.0,6545.0,50000.0,1170.0,53.0,,,,
RAJASTHAN,2011-12,Budget Estimates,5193474.0,3281574.0,2077694.0,1141897.0,246924.0,55082.0,159761.0,3931.0,147009.0,50158.0,11002.0,95384.0,96148.0,64213.0,6184.0,1203879.0,229969.0,107354.0,7024.0,36937.0,,1519.0,57986.0,,,10730.0,,7702.0,717.0,377581.0,,146524.0,122930.0,21688.0,,216334.0,215685.0,19731.0,3515.0,16217.0,,126176.0,121676.0,4500.0,3629.0,83876.0,40697.0,2408.0,30789.0,9981.0,1885524.0,50916.0,103207.0,103055.0,153.0,801247.0,,801247.0,58389.0,539911.0,286174.0,223702.0,197808.0,5140.0,309899.0,12284.0,30541.0,217279.0,13081.0,36712.0,615547.0,4707.0,,26376.0,26376.0,,
PUNJAB,2011-12,Budget Estimates,3540575.0,1690839.0,986766.0,516822.0,151345.0,17324.0,39647.0,,6301.0,47517.0,18153.0,117853.0,16739.0,49007.0,6058.0,704073.0,124587.0,47317.0,8259.0,31552.0,4416.0,2019.0,7533.0,,,14354.0,,8629.0,509.0,16820.0,,118631.0,94967.0,12813.0,10852.0,302121.0,302000.0,17417.0,7870.0,9547.0,,61413.0,29941.0,31472.0,1800.0,61284.0,9160.0,414.0,48125.0,3585.0,1702376.0,43848.0,44960.0,42808.0,2152.0,653001.0,,653001.0,18975.0,526406.0,256000.0,243176.0,86330.0,21289.0,472375.0,12915.0,21577.0,279217.0,50410.0,108256.0,482187.0,6006.0,4810.0,147360.0,147360.0,,
PUNJAB,2011-12,Revised Estimates,3659943.0,1840610.0,1138732.0,615451.0,151877.0,17323.0,44911.0,,2740.0,64451.0,16147.0,134085.0,16839.0,69008.0,5901.0,701877.0,114582.0,32322.0,8076.0,28803.0,2629.0,2080.0,8333.0,,,15371.0,,16442.0,526.0,19408.0,,116541.0,92423.0,13513.0,10605.0,320821.0,320699.0,9990.0,6094.0,3897.0,,58025.0,29541.0,28484.0,1232.0,61278.0,8555.0,1735.0,47626.0,3363.0,1643411.0,56070.0,44962.0,42934.0,2028.0,627087.0,,627087.0,19764.0,487232.0,231032.0,228416.0,95285.0,24806.0,428141.0,13397.0,21825.0,292696.0,50642.0,49581.0,480328.0,6824.0,4810.0,175922.0,175922.0,,
PUNJAB,2011-12,Accounts,3304532.0,1551058.0,924651.0,528957.0,139810.0,15269.0,39804.0,,2363.0,28579.0,14343.0,101005.0,12872.0,36524.0,5125.0,626408.0,86387.0,21793.0,4854.0,26129.0,1245.0,1341.0,7319.0,,,14565.0,,8632.0,509.0,13896.0,,99004.0,76025.0,13125.0,9854.0,320090.0,320007.0,5286.0,4876.0,410.0,,69307.0,38540.0,30767.0,486.0,31952.0,4346.0,133.0,25082.0,2391.0,1678794.0,49412.0,37865.0,35922.0,1943.0,628001.0,,628001.0,20624.0,484724.0,229687.0,227349.0,98176.0,24477.0,392286.0,12276.0,19560.0,285421.0,30108.0,44921.0,565720.0,5510.0,4507.0,74680.0,74680.0,,
ASSAM,2011-12,Accounts,2652856.0,1437528.0,1027717.0,613264.0,129077.0,17024.0,28565.0,1487.0,35966.0,50717.0,10374.0,70651.0,37679.0,28362.0,4550.0,409811.0,119181.0,50646.0,3555.0,18962.0,2882.0,5402.0,25381.0,,8836.0,15426.0,,5240.0,523.0,81186.0,18561.0,49234.0,5965.0,23463.0,19540.0,10192.0,10157.0,31909.0,19952.0,11957.0,,72606.0,61909.0,10697.0,1302.0,25639.0,17531.0,1586.0,34.0,6487.0,970774.0,24801.0,25932.0,25787.0,145.0,220750.0,13300.0,207450.0,13617.0,153152.0,92533.0,54579.0,40681.0,,360062.0,102355.0,10230.0,179881.0,22471.0,45125.0,313607.0,25622.0,,244554.0,244554.0,,
HARYANA,2011-12,Budget Estimates,3467887.0,2389204.0,1396852.0,713623.0,125064.0,11775.0,90931.0,1855.0,119501.0,33978.0,23913.0,224927.0,18753.0,25823.0,6709.0,992352.0,173838.0,61242.0,5226.0,36906.0,383.0,2464.0,22102.0,,1353.0,24419.0,,19568.0,177.0,110149.0,,126498.0,107546.0,835.0,,333406.0,332111.0,10942.0,5520.0,5422.0,,206854.0,81082.0,125772.0,1590.0,29074.0,24944.0,230.0,1000.0,2899.0,1068407.0,40286.0,25547.0,25445.0,102.0,453199.0,15222.0,437977.0,17253.0,346636.0,145127.0,125705.0,70897.0,3191.0,224247.0,8201.0,11919.0,160432.0,21547.0,22149.0,325010.0,119.0,12.0,10276.0,10276.0,,
HARYANA,2011-12,Revised Estimates,3604925.0,2505570.0,1486971.0,709709.0,130245.0,11775.0,142986.0,1875.0,148242.0,34356.0,23392.0,223509.0,14965.0,38112.0,7805.0,1018599.0,166557.0,55092.0,4814.0,37178.0,267.0,2321.0,22534.0,,1317.0,24416.0,,18467.0,151.0,116592.0,,140804.0,121953.0,734.0,,359209.0,358018.0,11171.0,5730.0,5441.0,,193309.0,76432.0,116877.0,2680.0,28279.0,24939.0,272.0,100.0,2967.0,1082932.0,50738.0,26002.0,25896.0,106.0,449545.0,15089.0,434456.0,14370.0,349288.0,134669.0,116945.0,67456.0,3341.0,231531.0,8859.0,12890.0,163767.0,23074.0,22941.0,325000.0,116.0,17.0,16424.0,16424.0,,
